index,title,genres,tag
532,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,Sexual Humor
533,Shadowlands (1993),Drama|Romance,Seth Rogen
534,Short Cuts (1993),Drama,embarassing scenes
535,"Simple Twist of Fate, A (1994)",Drama,offensive
536,Sirens (1994),Drama,R language
537,Six Degrees of Separation (1993),Drama,sarcasm
538,Sleepless in Seattle (1993),Comedy|Drama|Romance,satire
539,Sliver (1993),Thriller,80's
540,Blade Runner (1982),Action|Sci-Fi|Thriller,Crude humor
541,Son in Law (1993),Comedy|Drama|Romance,mindfuck
542,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,sarcasm
543,Striking Distance (1993),Action|Crime,satire
544,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,Vulgar
546,Surviving the Game (1994),Action|Adventure|Thriller,sofia coppola
547,Terminal Velocity (1994),Action|Mystery|Thriller,John Cusack
548,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,Ewan McGregor
549,Threesome (1994),Comedy|Romance,Renee Zellweger
550,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,jackie chan
551,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,kung fu
552,Tombstone (1993),Action|Drama|Western,Something for everyone in this one... saw it without and plan on seeing it with kids!
553,True Romance (1993),Crime|Thriller,assassin
555,"War Room, The (1993)",Documentary,Jean Reno
556,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,assassin
558,Welcome to the Dollhouse (1995),Comedy|Drama,assassin-in-training (scene)
562,Germinal (1993),Drama|Romance,espionage
563,Chasers (1994),Comedy,Robert Ludlum
564,Kika (1993),Comedy|Drama,test tag
567,Bhaji on the Beach (1993),Comedy|Drama,feel-good
568,Little Big League (1994),Comedy|Drama,fun family movie
569,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,very funny
573,Spanking the Monkey (1994),Comedy|Drama,black and white
574,"Little Rascals, The (1994)",Children|Comedy,Christopher Nolan
575,Andre (1994),Adventure|Children|Drama,directorial debut
577,"Escort, The (Scorta, La) (1993)",Crime|Thriller,mindfuck
579,Princess Caraboo (1994),Drama,not linear
580,"Celluloid Closet, The (1995)",Documentary,Twist Ending
581,Dear Diary (Caro Diario) (1994),Comedy|Drama,action
583,"Brady Bunch Movie, The (1995)",Comedy,comic book
585,Home Alone (1990),Children|Comedy,hugh jackman
586,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,marvel
587,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,superhero
588,Terminator 2: Judgment Day (1991),Action|Sci-Fi,dark
589,Dances with Wolves (1990),Adventure|Drama|Western,Mindfuck
590,Batman (1989),Action|Crime|Thriller,nonlinear
592,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,psychology
593,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,twist ending
594,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,alan rickman
595,Pinocchio (1940),Animation|Children|Fantasy|Musical,harry potter
596,Pretty Woman (1990),Comedy|Romance,humorous
597,"Wild Bunch, The (1969)",Adventure|Western,Magic
599,Love and a .45 (1994),Action|Comedy|Crime,atmospheric
600,"Great Day in Harlem, A (1994)",Documentary,insomnia
602,One Fine Day (1996),Drama|Romance,thought-provoking
605,Candyman: Farewell to the Flesh (1995),Fantasy|Horror,amazing artwork
606,Fargo (1996),Comedy|Crime|Drama|Thriller,anime
608,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,sci-fi
609,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,anime
610,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi,end of the world
611,"Pallbearer, The (1996)",Comedy,epic
612,Jane Eyre (1996),Drama|Romance,mecha
613,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama,psychology
615,"Aristocats, The (1970)",Animation|Children,anime
616,"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama,comedy
617,Two Much (1995),Comedy|Romance,gintama
618,Ed (1996),Comedy,remaster
619,"Thin Line Between Love and Hate, A (1996)",Comedy,classic sci-fi
626,"Last Supper, The (1995)",Drama|Thriller,space action
627,Primal Fear (1996),Crime|Drama|Mystery|Thriller,space epic
628,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,atmospheric
631,Land and Freedom (Tierra y libertad) (1995),Drama|War,cult film
632,Denise Calls Up (1995),Comedy,dreamlike
633,Theodore Rex (1995),Comedy,hallucinatory
634,"Family Thing, A (1996)",Comedy|Drama,psychological
635,Frisk (1995),Drama,surreal
636,Sgt. Bilko (1996),Comedy,time travel
637,Jack and Sarah (1995),Romance,dreamlike
638,Girl 6 (1996),Comedy|Drama,sentimental
639,Diabolique (1996),Drama|Thriller,surreal
640,Nelly & Monsieur Arnaud (1995),Drama,Tim Burton
645,Courage Under Fire (1996),Action|Crime|Drama|War,alternate reality
647,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,memory
648,Cold Fever (Á köldum klaka) (1995),Comedy|Drama,thought-provoking
649,Moll Flanders (1996),Drama,cinematography
650,Dragonheart (1996),Action|Adventure|Fantasy,India
653,Eddie (1996),Comedy,surreal
656,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,oldie but goodie
661,Fear (1996),Thriller,sci-fi
662,Kids in the Hall: Brain Candy (1996),Comedy,Star Wars
663,Underground (1995),Comedy|Drama|War,big wave
665,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action,surfing
667,Song of the Little Road (Pather Panchali) (1955),Drama,ummarti2006
668,"World of Apu, The (Apur Sansar) (1959)",Drama,funny
670,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,high school
671,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,comic book
673,Barbarella (1968),Adventure|Comedy|Sci-Fi,Notable Nudity
674,Some Folks Call It a Sling Blade (1993),Drama|Thriller,moldy
678,"Run of the Country, The (1995)",Drama,old
679,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller,moving
680,It's My Party (1996),Drama,predictable
685,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,a clever chef rat
688,Mrs. Winterbourne (1996),Comedy|Romance,inspirational
691,Solo (1996),Action|Sci-Fi|Thriller,animation
692,"Substitute, The (1996)",Action|Crime|Drama,hope
694,True Crime (1996),Mystery|Thriller,atmospheric
695,Feeling Minnesota (1996),Drama|Romance,drugs
697,Delta of Venus (1995),Drama,mathematics
698,Angus (1995),Comedy,zombies
700,Boys (1996),Drama,DEPRESSING
703,"Quest, The (1996)",Action|Adventure,stupid
704,Sunset Park (1996),Drama,predictable
706,Mulholland Falls (1996),Crime|Drama|Thriller,Favelas
707,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,black comedy
708,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,based on a book
709,Celtic Pride (1996),Comedy,dark comedy
710,Flipper (1996),Adventure|Children,narrated
711,Dead Man (1995),Drama|Mystery|Western,reciprocal spectator
714,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama|Romance,reciprocal spectator
715,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi,documentary
718,Multiplicity (1996),Comedy,Animation
719,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,Documentary
720,"Haunted World of Edward D. Wood Jr., The (1996)",Documentary,Henry Darger
722,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller,the catholic church is the most corrupt organization in history
724,"Great White Hype, The (1996)",Comedy,childish naivity
725,Last Dance (1996),Drama,friendship
726,Cold Comfort Farm (1995),Comedy,adventure
728,Heaven's Prisoners (1996),Crime|Thriller,Bechdel Test:Fail
731,"Rock, The (1996)",Action|Adventure|Thriller,cartoon
733,Cemetery Man (Dellamorte Dellamore) (1994),Horror,children
735,Twister (1996),Action|Adventure|Romance|Thriller,computer animation
736,Barb Wire (1996),Action|Sci-Fi,divorce
737,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi,dogs
741,Thinner (1996),Horror|Thriller,dreams
742,Spy Hard (1996),Comedy,Pixar
743,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,Narrative pisstake
745,"Stupids, The (1996)",Comedy,american idolatry
747,"Arrival, The (1996)",Action|Sci-Fi|Thriller,atmospheric
748,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,Coen Brothers
750,Ashes of Time (Dung che sai duk) (1994),Drama,Jeff Bridges
757,Maya Lin: A Strong Clear Vision (1994),Documentary,Matt Damon
759,Stalingrad (1993),Drama|War,predictable
760,"Phantom, The (1996)",Action|Adventure,celebrity fetishism
761,Striptease (1996),Comedy|Crime,mediacentralism
762,Heavy (1995),Drama|Romance,system holism
764,Jack (1996),Comedy|Drama,city politics
765,I Shot Andy Warhol (1996),Drama,italy
766,Touki Bouki (1973),Drama,political right versus left
773,Spirits of the Dead (1968),Horror|Mystery,Creature Feature
775,Trainspotting (1996),Comedy|Crime|Drama,documentary
778,'Til There Was You (1997),Drama|Romance,music industry
779,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,remix culture
780,Stealing Beauty (1996),Drama,film history
781,"Fan, The (1996)",Drama|Thriller,poetic
782,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,representation of children
783,"Cable Guy, The (1996)",Comedy|Thriller,Disney
784,Kingpin (1996),Comedy,Disney animated feature
785,Eraser (1996),Action|Drama|Thriller,Oscar (Best Music - Original Score)
786,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,music
788,"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama,Ben Stiller
790,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary,comic book
791,Somebody to Love (1994),Drama,music
795,Daylight (1996),Action|Adventure|Drama|Thriller,music
798,"Frighteners, The (1996)",Comedy|Horror|Thriller,awesome
799,Lone Star (1996),Drama|Mystery|Western,british comedy
800,Harriet the Spy (1996),Children|Comedy,pixar
801,Phenomenon (1996),Drama|Romance,superhero
802,Walking and Talking (1996),Comedy|Drama|Romance,knights
803,She's the One (1996),Comedy|Romance,highschool
804,"Time to Kill, A (1996)",Drama|Thriller,cult
805,American Buffalo (1996),Crime|Drama,boksdrama
806,Alaska (1996),Adventure|Children,stiller
808,Fled (1996),Action|Adventure,wapendrama
809,Kazaam (1996),Children|Comedy|Fantasy,animation
810,Larger Than Life (1996),Comedy,sisters
813,"Very Brady Sequel, A (1996)",Comedy,ROBOTS AND ANDROIDS
818,"Collector, The (La collectionneuse) (1967)",Drama,space
823,Kaspar Hauser (1993),Drama|Mystery,post-college
824,"Adventures of Pinocchio, The (1996)",Adventure|Children,restaurant
828,Joe's Apartment (1996),Comedy|Fantasy|Musical,transvestite
829,"First Wives Club, The (1996)",Comedy,satire
830,Ransom (1996),Crime|Thriller,dark comedy
832,High School High (1996),Comedy,chick flick
833,Foxfire (1996),Drama,funny
835,Chain Reaction (1996),Action|Adventure|Thriller,Paul Rudd
836,Matilda (1996),Children|Comedy|Fantasy,quotable
837,Emma (1996),Comedy|Drama|Romance,seen more than once
838,"Crow: City of Angels, The (1996)",Action|Thriller,Amazing Cinematography
839,House Arrest (1996),Children|Comedy,Leonardo DiCaprio
840,"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror,shakespeare
841,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror,updated classics
842,"Spitfire Grill, The (1996)",Drama,Atmospheric
848,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,Bruce Willis
849,Basquiat (1996),Drama,ghosts
851,Tin Cup (1996),Comedy|Drama|Romance,imdb top 250
852,"Godfather, The (1972)",Crime|Drama,mindfuck
858,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller,stylized
861,Bound (1996),Crime|Drama|Romance|Thriller,twist ending
866,Carpool (1996),Comedy|Crime,android(s)/cyborg(s)
867,Kansas City (1996),Crime|Drama|Musical|Thriller,artificial intelligence
869,Gone Fishin' (1997),Comedy,Bittersweet
870,Nothing to Lose (1994),Action|Crime|Drama,Steven Spielberg
875,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller,cinematography
876,"Relic, The (1997)",Horror|Thriller,Tom Hanks
879,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller,Bette Davis
880,First Kid (1996),Children|Comedy,Oscar (Best Actress)
881,"Trigger Effect, The (1996)",Drama|Thriller,Mark Ruffalo
882,Bogus (1996),Children|Drama|Fantasy,clever
885,Bulletproof (1996),Action|Comedy|Crime,High School
886,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical,lesbian subtext
888,1-900 (06) (1994),Drama|Romance,Leonardo DiCaprio
889,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller,suspense
891,Twelfth Night (1996),Comedy|Drama|Romance,twist ending
892,Mother Night (1996),Drama,undercover cop
893,Wild Reeds (Les roseaux sauvages) (1994),Drama,Christian Bale
896,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War,Casey Affleck
897,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,great performances
898,Singin' in the Rain (1952),Comedy|Musical|Romance,twist
899,"American in Paris, An (1951)",Musical|Romance,ending
900,Funny Face (1957),Comedy|Musical,Anne Hathaway
901,Breakfast at Tiffany's (1961),Drama|Romance,Christian Bale
902,Vertigo (1958),Drama|Mystery|Romance|Thriller,Christopher Nolan
903,Rear Window (1954),Mystery|Thriller,comic book
904,It Happened One Night (1934),Comedy|Romance,great ending
905,Gaslight (1944),Drama|Thriller,Morgan Freeman
906,"Gay Divorcee, The (1934)",Comedy|Musical|Romance,political commentary
907,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,superhero
908,"Apartment, The (1960)",Comedy|Drama|Romance,Afghanistan
909,Some Like It Hot (1959),Comedy|Crime,American propaganda
910,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller,assassination
911,Casablanca (1942),Drama|Romance,military
912,"Maltese Falcon, The (1941)",Film-Noir|Mystery,terrorism
913,My Fair Lady (1964),Comedy|Drama|Musical|Romance,time travel
914,Sabrina (1954),Comedy|Romance,mystery
915,Roman Holiday (1953),Comedy|Drama|Romance,twist ending
916,"Little Princess, The (1939)",Children|Drama,mindfuck
917,Meet Me in St. Louis (1944),Musical,suspense
918,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,thriller
919,Gone with the Wind (1939),Drama|Romance|War,tricky
920,My Favorite Year (1982),Comedy,twist ending
921,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,addiction
922,Citizen Kane (1941),Drama|Mystery,heroin
923,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,Leonardo DiCaprio
924,All About Eve (1950),Drama,Mark Wahlberg
926,"Women, The (1939)",Comedy,controversial
927,Rebecca (1940),Drama|Mystery|Romance|Thriller,New York City
928,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller,Nudity (Full Frontal)
929,Notorious (1946),Film-Noir|Romance|Thriller,cynical
930,Spellbound (1945),Mystery|Romance|Thriller,hilarious
931,"Affair to Remember, An (1957)",Drama|Romance,independent film
932,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller,quirky
933,Father of the Bride (1950),Comedy,witty
934,"Band Wagon, The (1953)",Comedy|Musical,classic sci-fi
935,Ninotchka (1939),Comedy|Romance,sci-fi
936,Love in the Afternoon (1957),Comedy|Romance,space adventure
937,Gigi (1958),Musical,Star Wars
938,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,brutality
940,"Mark of Zorro, The (1940)",Adventure,controversial
941,Laura (1944),Crime|Film-Noir|Mystery,dark comedy
942,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance,psychedelic
943,Lost Horizon (1937),Drama,satire
944,Top Hat (1935),Comedy|Musical|Romance,stylized
945,To Be or Not to Be (1942),Comedy|Drama|War,cult film
946,My Man Godfrey (1936),Comedy|Romance,drugs
947,Giant (1956),Drama|Romance|Western,Quentin Tarantino
948,East of Eden (1955),Drama,Tarantino
949,"Thin Man, The (1934)",Comedy|Crime,soundtrack
950,His Girl Friday (1940),Comedy|Romance,thought-provoking
951,Around the World in 80 Days (1956),Adventure|Comedy,sci-fi
952,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,apocalypse
953,Mr. Smith Goes to Washington (1939),Drama,Arnold Schwarzenegger
954,Bringing Up Baby (1938),Comedy|Romance,nuclear war
955,Penny Serenade (1941),Drama|Romance,sci-fi
956,Of Human Bondage (1934),Drama,Suspense
959,Little Lord Fauntleroy (1936),Drama,time travel
961,"Inspector General, The (1949)",Musical,based on a true story
963,"39 Steps, The (1935)",Drama|Mystery|Thriller,dark comedy
965,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller,KIDNAPPING
968,"African Queen, The (1951)",Adventure|Comedy|Romance|War,Steve Buscemi
969,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance,edward norton
970,Cat on a Hot Tin Roof (1958),Drama,psychology
971,Meet John Doe (1941),Comedy|Drama,suspense
973,"Farewell to Arms, A (1932)",Romance|War,thought-provoking
976,Nothing Personal (1995),Drama|War,twist ending
979,Dangerous Ground (1997),Drama,ensemble cast
981,Picnic (1955),Drama,nonlinear
982,"Pompatus of Love, The (1996)",Comedy|Drama,Quentin Tarantino
984,Fly Away Home (1996),Adventure|Children,stylized
986,Bliss (1997),Drama|Romance,freedom of expression
987,Grace of My Heart (1996),Comedy|Drama,british comedy
988,Maximum Risk (1996),Action|Adventure|Thriller,Monty Python
990,Michael Collins (1996),Drama,emotional
991,Infinity (1996),Drama,jack nicholson
993,Big Night (1996),Comedy|Drama,adventure
994,Last Man Standing (1996),Action|Crime|Drama|Thriller,archaeology
996,Set It Off (1996),Action|Crime,indiana jones
998,2 Days in the Valley (1996),Crime|Film-Noir,Steven Spielberg
999,Extreme Measures (1996),Drama|Thriller,treasure hunt
1003,"Glimmer Man, The (1996)",Action|Thriller,action
1004,D3: The Mighty Ducks (1996),Children|Comedy,aliens
1005,"Chamber, The (1996)",Drama,horror
1006,"Apple Dumpling Gang, The (1975)",Children|Comedy|Western,sci-fi
1007,"Davy Crockett, King of the Wild Frontier (1955)",Adventure|Western,space
1008,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,space craft
1009,"Love Bug, The (1969)",Children|Comedy,SPACE TRAVEL
1010,Herbie Rides Again (1974),Children|Comedy|Fantasy|Romance,suspense
1011,Old Yeller (1957),Children|Drama,Alfred Hitchcock
1012,"Parent Trap, The (1961)",Children|Comedy|Romance,psychology
1013,Pollyanna (1960),Children|Comedy|Drama,suspenseful
1014,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama,tense
1015,"Shaggy Dog, The (1959)",Children|Comedy,Action
1016,Swiss Family Robinson (1960),Adventure|Children,artificial intelligence
1017,That Darn Cat! (1965),Children|Comedy|Mystery,robots
1018,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi,Sci-Fi
1019,Cool Runnings (1993),Comedy,special effects
1020,Angels in the Outfield (1994),Children|Comedy,tense
1021,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance,time travel
1022,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical,atmospheric
1023,"Three Caballeros, The (1945)",Animation|Children|Musical,disturbing
1024,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,Horror
1025,Robin Hood: Prince of Thieves (1991),Adventure|Drama,jack nicholson
1027,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,masterpiece
1028,Dumbo (1941),Animation|Children|Drama|Musical,psychological
1029,Pete's Dragon (1977),Adventure|Animation|Children|Musical,Stanley Kubrick
1030,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,suspense
1031,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,horror
1032,"Fox and the Hound, The (1981)",Animation|Children|Drama,Juliette Lewis
1033,Freeway (1996),Comedy|Crime|Drama|Thriller,Martin Scorsese
1034,"Sound of Music, The (1965)",Musical|Romance,Robert De Niro
1035,Die Hard (1988),Action|Crime|Thriller,mindfuck
1036,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller,Mystery
1037,"Secret Agent, The (1996)",Drama,plot twist
1040,Secrets & Lies (1996),Drama,psychological
1041,That Thing You Do! (1996),Comedy|Drama,suspense
1042,To Gillian on Her 37th Birthday (1996),Drama|Romance,twist ending
1043,Beautiful Thing (1996),Drama|Romance,inspirational
1046,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller,hallucinatory
1047,"Ghost and the Darkness, The (1996)",Action|Adventure,mental illness
1049,Looking for Richard (1996),Documentary|Drama,mindfuck
1050,Trees Lounge (1996),Drama,paranoid
1051,Normal Life (1996),Crime|Drama|Romance,Ben Stiller
1053,Get on the Bus (1996),Drama,crude humor
1054,Shadow Conspiracy (1997),Thriller,goofy
1055,Jude (1996),Drama,Atmospheric
1056,Everyone Says I Love You (1996),Comedy|Musical|Romance,creepy
1057,William Shakespeare's Romeo + Juliet (1996),Drama|Romance,paranoia
1059,Swingers (1996),Comedy|Drama,scary
1060,Sleepers (1996),Thriller,suspense
1061,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance,SNL
1064,Shall We Dance (1937),Comedy|Musical|Romance,thought-provoking
1066,Crossfire (1947),Crime|Film-Noir,Nicolas Cage
1068,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,martial arts
1073,"Innocents, The (1961)",Drama|Horror|Thriller,sci-fi
1076,Sleeper (1973),Comedy|Sci-Fi,adult humor
1077,Bananas (1971),Comedy|War,controversial
1078,"Fish Called Wanda, A (1988)",Comedy|Crime,crude humor
1079,Monty Python's Life of Brian (1979),Comedy,free speech
1080,Victor/Victoria (1982),Comedy|Musical|Romance,parody
1081,"Candidate, The (1972)",Drama,satire
1082,"Great Race, The (1965)",Comedy|Musical,south park
1083,Bonnie and Clyde (1967),Crime|Drama,Trey Parker
1084,"Old Man and the Sea, The (1958)",Adventure|Drama,dark comedy
1085,Dial M for Murder (1954),Crime|Mystery|Thriller,psychology
1086,Dirty Dancing (1987),Drama|Musical|Romance,thought-provoking
1088,Reservoir Dogs (1992),Crime|Mystery|Thriller,twist ending
1089,Platoon (1986),Drama|War,based on a book
1090,Weekend at Bernie's (1989),Comedy,creepy
1091,Basic Instinct (1992),Crime|Mystery|Thriller,disturbing
1092,"Doors, The (1991)",Drama,Jude Law
1093,"Crying Game, The (1992)",Drama|Romance|Thriller,murder
1094,Glengarry Glen Ross (1992),Drama,obsession
1095,Sophie's Choice (1982),Drama,psychology
1096,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,secrets
1097,"Christmas Carol, A (1938)",Children|Drama|Fantasy,serial killer
1099,Days of Thunder (1990),Action|Drama|Romance,suspense
1100,Top Gun (1986),Action|Romance,asylum
1101,Rebel Without a Cause (1955),Drama,based on a true story
1103,"Streetcar Named Desire, A (1951)",Drama,Brittany Murphy
1104,Children of the Corn IV: The Gathering (1996),Horror,Mental Hospital
1105,Loser (1991),Comedy,psychology
1107,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,winona ryder
1111,Palookaville (1996),Action|Comedy|Drama,claustrophobic
1112,"Funeral, The (1996)",Crime|Drama,horror
1114,"Single Girl, A (Fille seule, La) (1995)",Drama,scary
1116,"Eighth Day, The (Huitième jour, Le) (1996)",Drama,stephen king
1117,Drunks (1995),Drama,suspenseful
1119,"People vs. Larry Flynt, The (1996)",Comedy|Drama,tense
1120,Glory Daze (1995),Drama,thriller
1121,"Perfect Candidate, A (1996)",Documentary,aliens
1123,On Golden Pond (1981),Drama,sci-fi
1124,"Return of the Pink Panther, The (1975)",Comedy|Crime,scifi cult
1125,Drop Dead Fred (1991),Comedy|Fantasy,satire
1126,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,comedy
1127,"Fog, The (1980)",Horror,Robert De Niro
1128,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,mystery
1129,"Howling, The (1980)",Horror|Mystery,psychological
1130,Jean de Florette (1986),Drama|Mystery,twist ending
1131,Manon of the Spring (Manon des sources) (1986),Drama,Al Pacino
1132,Private Benjamin (1980),Comedy,ben stiller
1135,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,comedy
1136,Hustler White (1996),Romance,David Bowie
1137,Entertaining Angels: The Dorothy Day Story (1996),Drama,goofy
1140,"Line King: The Al Hirschfeld Story, The (1996)",Documentary,mindless one liners
1144,When We Were Kings (1996),Documentary,Will Ferrell
1147,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,jake gyllenhaal
1148,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama,fantasy
1150,Lesson Faust (1994),Animation|Comedy|Drama|Fantasy,high fantasy
1151,"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",Drama,Magic
1156,"Tin Drum, The (Blechtrommel, Die) (1979)",Drama|War,mythology
1161,"Ruling Class, The (1972)",Comedy|Drama,tolkien
1162,Mina Tannenbaum (1994),Drama,wizards
1163,Dear God (1996),Comedy,black and white
1167,Best of the Best 3: No Turning Back (1995),Action,samurai
1170,Bob Roberts (1992),Comedy,multiple storylines
1171,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,true story
1172,"Cook the Thief His Wife & Her Lover, The (1989)",Comedy|Drama,comedy
1173,Delicatessen (1991),Comedy|Drama|Romance,Will Ferrell
1175,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Drama|Fantasy|Romance,Rob Zombie
1176,Enchanted April (1992),Drama|Romance,jim carrey
1177,Paths of Glory (1957),Drama|War,comedy
1178,"Grifters, The (1990)",Crime|Drama|Film-Noir,Will Ferrell
1179,Hear My Song (1991),Comedy,Christian Bale
1180,"English Patient, The (1996)",Drama|Romance|War,creepy
1183,Mediterraneo (1991),Comedy|Drama,powerful ending
1184,My Left Foot (1989),Drama,psychology
1185,"Sex, Lies, and Videotape (1989)",Drama,schizophrenia
1186,Passion Fish (1992),Drama,twist ending
1187,Strictly Ballroom (1992),Comedy|Romance,drugs
1188,"Thin Blue Line, The (1988)",Documentary,lesbian
1189,Tie Me Up! Tie Me Down! (¡Átame!) (1990),Crime|Drama|Romance,Ben Stiller
1190,Madonna: Truth or Dare (1991),Documentary|Musical,Robert De Niro
1191,Paris Is Burning (1990),Documentary,Rob Zombie
1192,One Flew Over the Cuckoo's Nest (1975),Drama,Jake Gyllenhaal
1193,Cheech and Chong's Up in Smoke (1978),Comedy,Modern war
1194,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,atmospheric
1196,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,Jack Nicholson
1197,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,Leonardo DiCaprio
1198,Brazil (1985),Fantasy|Sci-Fi,Martin Scorsese
1199,Aliens (1986),Action|Adventure|Horror|Sci-Fi,suspense
1200,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,based on a play
1201,Withnail & I (1987),Comedy,conspiracy theory
1202,12 Angry Men (1957),Drama,creepy
1203,Lawrence of Arabia (1962),Adventure|Drama|War,Insanity
